Date,Power_kW,temp_C,solarRad_W/m2,Day_of_week,Hour_of_day,Power-1,HDH
2019-01-03 09:00:00,240.561,3.5866666666666664,124.2625,3,9,188.776,23.413333333333334
2019-01-03 10:00:00,280.627,3.7025,248.84166666666667,3,10,240.561,23.2975
2019-01-03 11:00:00,281.742,5.44275,436.4,3,11,280.627,21.55725
2019-01-03 12:00:00,272.711,7.808499999999999,473.5916666666667,3,12,281.742,19.1915
2019-01-03 13:00:00,246.169,8.758333333333333,457.1166666666666,3,13,272.711,18.241666666666667
2019-01-03 14:00:00,252.594,8.355833333333333,381.6166666666666,3,14,246.169,18.644166666666667
2019-01-03 15:00:00,256.266,8.859166666666667,258.43333333333334,3,15,252.594,18.140833333333333
2019-01-03 16:00:00,261.936,8.2825,112.475,3,16,256.266,18.7175
2019-01-03 17:00:00,239.005,7.250833333333333,11.7975,3,17,261.936,19.749166666666667
2019-01-03 18:00:00,203.358,7.2075,2.51175,3,18,239.005,19.7925
2019-01-03 19:00:00,170.189,6.8295,3.732416666666667,3,19,203.358,20.1705
2019-01-03 20:00:00,138.111,6.448833333333333,4.28,3,20,170.189,20.551166666666667
2019-01-03 21:00:00,112.34,5.800250000000001,5.400083333333334,3,21,138.111,21.199749999999998
2019-01-03 22:00:00,100.985,5.5856666666666674,3.1165833333333333,3,22,112.34,21.41433333333333
2019-01-03 23:00:00,107.59,5.88825,3.4211666666666667,3,23,100.985,21.11175
2019-01-04 00:00:00,101.629,6.146666666666667,2.44,4,0,107.59,20.85333333333333
2019-01-04 01:00:00,100.422,6.3855,2.2024166666666667,4,1,101.629,20.6145
2019-01-04 02:00:00,99.743,6.135333333333333,2.1214166666666667,4,2,100.422,20.86466666666667
2019-01-04 03:00:00,99.989,6.245833333333334,3.661,4,3,99.743,20.754166666666666
2019-01-04 04:00:00,101.99,6.3245000000000005,2.38225,4,4,99.989,20.6755
2019-01-04 05:00:00,98.643,6.2085,2.54175,4,5,101.99,20.7915
2019-01-04 06:00:00,103.899,6.02525,3.501916666666667,4,6,98.643,20.97475
2019-01-04 07:00:00,146.062,5.706916666666667,2.2784166666666668,4,7,103.899,21.293083333333332
2019-01-04 08:00:00,192.349,5.841833333333334,26.05508333333333,4,8,146.062,21.158166666666666
2019-01-04 09:00:00,234.944,6.19625,102.7925,4,9,192.349,20.80375
2019-01-04 10:00:00,260.575,6.964166666666666,164.73333333333332,4,10,234.944,20.035833333333333
2019-01-04 11:00:00,272.78,7.773333333333333,235.525,4,11,260.575,19.226666666666667
2019-01-04 12:00:00,284.077,9.4825,299.425,4,12,272.78,17.5175
2019-01-04 13:00:00,263.239,10.964166666666666,293.43333333333334,4,13,284.077,16.035833333333336
2019-01-04 14:00:00,261.732,11.930833333333334,333.8666666666667,4,14,263.239,15.069166666666666
2019-01-04 15:00:00,257.405,12.806666666666668,238.025,4,15,261.732,14.193333333333332
2019-01-04 16:00:00,251.057,12.620833333333332,103.69416666666666,4,16,257.405,14.379166666666668
2019-01-04 17:00:00,230.889,12.311666666666667,10.259666666666666,4,17,251.057,14.688333333333333
2019-01-04 18:00:00,194.461,12.2375,3.05825,4,18,230.889,14.7625
2019-01-04 19:00:00,164.569,11.891666666666667,3.485,4,19,194.461,15.108333333333333
2019-01-04 20:00:00,143.198,11.576666666666666,3.0049166666666665,4,20,164.569,15.423333333333334
2019-01-04 21:00:00,120.746,11.236666666666666,2.4071666666666665,4,21,143.198,15.763333333333334
2019-01-04 22:00:00,104.899,11.008333333333333,3.076416666666667,4,22,120.746,15.991666666666667
2019-01-04 23:00:00,106.341,10.881666666666668,4.089666666666667,4,23,104.899,16.118333333333332
